ubuntu@ubuntu:~$ sudo intel_reg dump
                    GEN8_MASTER_IRQ (0x00044200): 0x80000000
                      PS_WIN_SZ_1_A (0x00068174): 0x00000000
                      PS_WIN_SZ_2_A (0x00068274): 0x00000000
                  PLANE_BUF_CFG_1_B (0x0007127c): 0x00000000
                  PLANE_BUF_CFG_2_B (0x0007137c): 0x00000000
                  PLANE_BUF_CFG_3_B (0x0007147c): 0x00000000
             PLANE_NV12_BUF_CFG_1_B (0x00071278): 0x00000000
             PLANE_NV12_BUF_CFG_2_B (0x00071378): 0x00000000
             PLANE_NV12_BUF_CFG_3_B (0x00071478): 0x00000000
                      PLANE_CTL_1_B (0x00071180): 0x00000000 (disabled)
                      PLANE_CTL_2_B (0x00071280): 0x00000000
                      PLANE_CTL_3_B (0x00071380): 0x00000000
                   PLANE_KEYMAX_1_B (0x000711a0): 0x00000000
                   PLANE_KEYMAX_2_B (0x000712a0): 0x00000000
                   PLANE_KEYMAX_3_B (0x000713a0): 0x00000000
                   PLANE_KEYMSK_1_B (0x00071198): 0x00000000
                   PLANE_KEYMSK_2_B (0x00071298): 0x00000000
                   PLANE_KEYMSK_3_B (0x00071398): 0x00000000
                   PLANE_KEYVAL_1_B (0x00071194): 0x00000000
                   PLANE_KEYVAL_2_B (0x00071294): 0x00000000
                   PLANE_KEYVAL_3_B (0x00071394): 0x00000000
                   PLANE_OFFSET_1_B (0x000711a4): 0x00000000 (0, 0)
                   PLANE_OFFSET_2_B (0x000712a4): 0x00000000
                   PLANE_OFFSET_3_B (0x000713a4): 0x00000000
                 PLANE_AUX_DIST_1_B (0x000711c0): 0x00000000
                 PLANE_AUX_DIST_2_B (0x000712c0): 0x00000000
                 PLANE_AUX_DIST_3_B (0x000713c0): 0x00000000
               PLANE_AUX_OFFSET_1_B (0x000711c4): 0x00000000
               PLANE_AUX_OFFSET_2_B (0x000712c4): 0x00000000
               PLANE_AUX_OFFSET_3_B (0x000713c4): 0x00000000
                      PLANE_POS_1_B (0x0007118c): 0x00000000
                      PLANE_POS_2_B (0x0007128c): 0x00000000
                      PLANE_POS_3_B (0x0007138c): 0x00000000
                     PLANE_SIZE_1_B (0x00071190): 0x00000000
                     PLANE_SIZE_2_B (0x00071290): 0x00000000
                     PLANE_SIZE_3_B (0x00071390): 0x00000000
                   PLANE_STRIDE_1_B (0x00071188): 0x00000000 (0)
                   PLANE_STRIDE_2_B (0x00071288): 0x00000000
                   PLANE_STRIDE_3_B (0x00071388): 0x00000000
                     PLANE_SURF_1_B (0x0007119c): 0x00000000
                     PLANE_SURF_2_B (0x0007129c): 0x00000000
                     PLANE_SURF_3_B (0x0007139c): 0x00000000
                 PLANE_SURFLIVE_1_B (0x000711ac): 0x00000000
                 PLANE_SURFLIVE_2_B (0x000712ac): 0x00000000
                 PLANE_SURFLIVE_3_B (0x000713ac): 0x00000000
                     PLANE_WM_1_B_0 (0x00071240): 0x00000000
                     PLANE_WM_1_B_1 (0x00071244): 0x00000000
                     PLANE_WM_1_B_2 (0x00071248): 0x00000000
                     PLANE_WM_1_B_3 (0x0007124c): 0x00000000
                     PLANE_WM_1_B_4 (0x00071250): 0x00000000
                     PLANE_WM_1_B_5 (0x00071254): 0x00000000
                     PLANE_WM_1_B_6 (0x00071258): 0x00000000
                     PLANE_WM_1_B_7 (0x0007125c): 0x00000000
                     PLANE_WM_2_B_0 (0x00071340): 0x00000000
                     PLANE_WM_2_B_1 (0x00071344): 0x00000000
                     PLANE_WM_2_B_2 (0x00071348): 0x00000000
                     PLANE_WM_2_B_3 (0x0007134c): 0x00000000
                     PLANE_WM_2_B_4 (0x00071350): 0x00000000
                     PLANE_WM_2_B_5 (0x00071354): 0x00000000
                     PLANE_WM_2_B_6 (0x00071358): 0x00000000
                     PLANE_WM_2_B_7 (0x0007135c): 0x00000000
                     PLANE_WM_3_B_0 (0x00071440): 0x00000000
                     PLANE_WM_3_B_1 (0x00071444): 0x00000000
                     PLANE_WM_3_B_2 (0x00071448): 0x00000000
                     PLANE_WM_3_B_3 (0x0007144c): 0x00000000
                     PLANE_WM_3_B_4 (0x00071450): 0x00000000
                     PLANE_WM_3_B_5 (0x00071454): 0x00000000
                     PLANE_WM_3_B_6 (0x00071458): 0x00000000
                     PLANE_WM_3_B_7 (0x0007145c): 0x00000000
                 PLANE_WM_TRANS_1_B (0x00071268): 0x00000000
                 PLANE_WM_TRANS_2_B (0x00071368): 0x00000000
                 PLANE_WM_TRANS_3_B (0x00071468): 0x00000000
                      CUR_BUF_CFG_B (0x0007117c): 0x00000000
                         CUR_BASE_B (0x00071084): 0x00000000
                          CUR_CTL_B (0x00071080): 0x00000000
                      CUR_FBC_CTL_B (0x000710a0): 0x00000000
                          CUR_POS_B (0x00071088): 0x00000000
                     CUR_SURFLIVE_B (0x000710ac): 0x00000000
                         CUR_WM_B_0 (0x00071140): 0x00000000
                         CUR_WM_B_1 (0x00071144): 0x00000000
                         CUR_WM_B_2 (0x00071148): 0x00000000
                         CUR_WM_B_3 (0x0007114c): 0x00000000
                         CUR_WM_B_4 (0x00071150): 0x00000000
                         CUR_WM_B_5 (0x00071154): 0x00000000
                         CUR_WM_B_6 (0x00071158): 0x00000000
                         CUR_WM_B_7 (0x0007115c): 0x00000000
                     CUR_WM_TRANS_B (0x00071168): 0x00000000
                        PS_CTRL_1_B (0x00068980): 0x00000000
                        PS_CTRL_2_B (0x00068a80): 0x00000000
                    PS_ECC_STAT_1_B (0x000689d0): 0x00000000
                    PS_ECC_STAT_2_B (0x00068ad0): 0x00000000
                      PS_HPHASE_1_B (0x00068994): 0x00000000
                      PS_HPHASE_2_B (0x00068a94): 0x00000000
                      PS_HSCALE_1_B (0x00068990): 0x00000000
                      PS_HSCALE_2_B (0x00068a90): 0x00000000
                    PS_PWR_GATE_1_B (0x00068960): 0x00000000
                    PS_PWR_GATE_2_B (0x00068a60): 0x00000000
                      PS_VPHASE_1_B (0x00068988): 0x00000000
                      PS_VPHASE_2_B (0x00068a88): 0x00000000
                      PS_VSCALE_1_B (0x00068984): 0x00000000
                      PS_VSCALE_2_B (0x00068a84): 0x00000000
                     PS_WIN_POS_1_B (0x00068970): 0x00000000
                     PS_WIN_POS_2_B (0x00068a70): 0x00000000
                  PLANE_BUF_CFG_1_C (0x0007227c): 0x00000000
                  PLANE_BUF_CFG_2_C (0x0007237c): 0x00000000
                  PLANE_BUF_CFG_3_C (0x0007247c): 0x00000000
             PLANE_NV12_BUF_CFG_1_C (0x00072278): 0x00000000
             PLANE_NV12_BUF_CFG_2_C (0x00072378): 0x00000000
             PLANE_NV12_BUF_CFG_3_C (0x00072478): 0x00000000
                      PLANE_CTL_1_C (0x00072180): 0x00000000 (disabled)
                      PLANE_CTL_2_C (0x00072280): 0x00000000
                      PLANE_CTL_3_C (0x00072380): 0x00000000
                   PLANE_KEYMAX_1_C (0x000721a0): 0x00000000
                   PLANE_KEYMAX_2_C (0x000722a0): 0x00000000
                   PLANE_KEYMAX_3_C (0x000723a0): 0x00000000
                   PLANE_KEYMSK_1_C (0x00072198): 0x00000000
                   PLANE_KEYMSK_2_C (0x00072298): 0x00000000
                   PLANE_KEYMSK_3_C (0x00072398): 0x00000000
                   PLANE_KEYVAL_1_C (0x00072194): 0x00000000
                   PLANE_KEYVAL_2_C (0x00072294): 0x00000000
                   PLANE_KEYVAL_3_C (0x00072394): 0x00000000
                   PLANE_OFFSET_1_C (0x000721a4): 0x00000000 (0, 0)
                   PLANE_OFFSET_2_C (0x000722a4): 0x00000000
                   PLANE_OFFSET_3_C (0x000723a4): 0x00000000
                 PLANE_AUX_DIST_1_C (0x000721c0): 0x00000000
                 PLANE_AUX_DIST_2_C (0x000722c0): 0x00000000
                 PLANE_AUX_DIST_3_C (0x000723c0): 0x00000000
               PLANE_AUX_OFFSET_1_C (0x000721c4): 0x00000000
               PLANE_AUX_OFFSET_2_C (0x000722c4): 0x00000000
               PLANE_AUX_OFFSET_3_C (0x000723c4): 0x00000000
                      PLANE_POS_1_C (0x0007218c): 0x00000000
                      PLANE_POS_2_C (0x0007228c): 0x00000000
                      PLANE_POS_3_C (0x0007238c): 0x00000000
                     PLANE_SIZE_1_C (0x00072190): 0x00000000
                     PLANE_SIZE_2_C (0x00072290): 0x00000000
                     PLANE_SIZE_3_C (0x00072390): 0x00000000
                   PLANE_STRIDE_1_C (0x00072188): 0x00000000 (0)
                   PLANE_STRIDE_2_C (0x00072288): 0x00000000
                   PLANE_STRIDE_3_C (0x00072388): 0x00000000
                     PLANE_SURF_1_C (0x0007219c): 0x00000000
                     PLANE_SURF_2_C (0x0007229c): 0x00000000
                     PLANE_SURF_3_C (0x0007239c): 0x00000000
                 PLANE_SURFLIVE_1_C (0x000721ac): 0x00000000
                 PLANE_SURFLIVE_2_C (0x000722ac): 0x00000000
                 PLANE_SURFLIVE_3_C (0x000723ac): 0x00000000
                     PLANE_WM_1_C_0 (0x00072240): 0x00000000
                     PLANE_WM_1_C_1 (0x00072244): 0x00000000
                     PLANE_WM_1_C_2 (0x00072248): 0x00000000
                     PLANE_WM_1_C_3 (0x0007224c): 0x00000000
                     PLANE_WM_1_C_4 (0x00072250): 0x00000000
                     PLANE_WM_1_C_5 (0x00072254): 0x00000000
                     PLANE_WM_1_C_6 (0x00072258): 0x00000000
                     PLANE_WM_1_C_7 (0x0007225c): 0x00000000
                     PLANE_WM_2_C_0 (0x00072340): 0x00000000
                     PLANE_WM_2_C_1 (0x00072344): 0x00000000
                     PLANE_WM_2_C_2 (0x00072348): 0x00000000
                     PLANE_WM_2_C_3 (0x0007234c): 0x00000000
                     PLANE_WM_2_C_4 (0x00072350): 0x00000000
                     PLANE_WM_2_C_5 (0x00072354): 0x00000000
                     PLANE_WM_2_C_6 (0x00072358): 0x00000000
                     PLANE_WM_2_C_7 (0x0007235c): 0x00000000
                     PLANE_WM_3_C_0 (0x00072440): 0x00000000
                     PLANE_WM_3_C_1 (0x00072444): 0x00000000
                     PLANE_WM_3_C_2 (0x00072448): 0x00000000
                     PLANE_WM_3_C_3 (0x0007244c): 0x00000000
                     PLANE_WM_3_C_4 (0x00072450): 0x00000000
                     PLANE_WM_3_C_5 (0x00072454): 0x00000000
                     PLANE_WM_3_C_6 (0x00072458): 0x00000000
                     PLANE_WM_3_C_7 (0x0007245c): 0x00000000
                 PLANE_WM_TRANS_1_C (0x00072268): 0x00000000
                 PLANE_WM_TRANS_2_C (0x00072368): 0x00000000
                 PLANE_WM_TRANS_3_C (0x00072468): 0x00000000
                      CUR_BUF_CFG_C (0x0007217c): 0x00000000
                         CUR_BASE_C (0x00072084): 0x00000000
                          CUR_CTL_C (0x00072080): 0x00000000
                      CUR_FBC_CTL_C (0x000720a0): 0x00000000
                          CUR_POS_C (0x00072088): 0x00000000
                     CUR_SURFLIVE_C (0x000720ac): 0x00000000
                         CUR_WM_C_0 (0x00072140): 0x00000000
                         CUR_WM_C_1 (0x00072144): 0x00000000
                         CUR_WM_C_2 (0x00072148): 0x00000000
                         CUR_WM_C_3 (0x0007214c): 0x00000000
                         CUR_WM_C_4 (0x00072150): 0x00000000
                         CUR_WM_C_5 (0x00072154): 0x00000000
                         CUR_WM_C_6 (0x00072158): 0x00000000
                         CUR_WM_C_7 (0x0007215c): 0x00000000
                     CUR_WM_TRANS_C (0x00072168): 0x00000000
                        PS_CTRL_1_C (0x00069180): 0x00000000
                    PS_ECC_STAT_1_C (0x000691d0): 0x00000000
                      PS_HPHASE_1_C (0x00069194): 0x00000000
                      PS_HSCALE_1_C (0x00069190): 0x00000000
                    PS_PWR_GATE_1_C (0x00069160): 0x00000000
                      PS_VPHASE_1_C (0x00069188): 0x00000000
                      PS_VSCALE_1_C (0x00069184): 0x00000000
                     PS_WIN_POS_1_C (0x00069170): 0x00000000
                      PS_WIN_SZ_1_C (0x00069174): 0x00000000
                     TRANS_CONF_EDP (0x0007f008): 0x00000000 (disabled, inactive, pf-pd)
                   TRANS_HBLANK_EDP (0x0006f004): 0x00000000 (1 start, 1 end)
                    TRANS_HSYNC_EDP (0x0006f008): 0x00000000 (1 start, 1 end)
                   TRANS_HTOTAL_EDP (0x0006f000): 0x00000000 (1 active, 1 total)
                    TRANS_SPACE_EDP (0x0006f024): 0x00000000
                   TRANS_VBLANK_EDP (0x0006f010): 0x00000000 (1 start, 1 end)
                    TRANS_VSYNC_EDP (0x0006f014): 0x00000000 (1 start, 1 end)
               TRANS_VSYNCSHIFT_EDP (0x0006f028): 0x00000000
                   TRANS_VTOTAL_EDP (0x0006f00c): 0x00000000 (1 active, 1 total)
                   TRANS_DATAM1_EDP (0x0006f030): 0x00000000 (TU 1, val 0x0 0)
                   TRANS_DATAN1_EDP (0x0006f034): 0x00000000 (val 0x0 0)
                   TRANS_LINKM1_EDP (0x0006f040): 0x00000000 (val 0x0 0)
                   TRANS_LINKN1_EDP (0x0006f044): 0x00000000 (val 0x0 0)
             TRANS_DDI_FUNC_CTL_EDP (0x0006f400): 0x00000000 (disabled, no port, HDMI, 8 bpc, -VSync, -HSync, EDP A ON, x1)
                 TRANS_MSA_MISC_EDP (0x0006f410): 0x00000000
                       TRANS_CONF_A (0x00070008): 0xc0000024 (enabled, active, pf-pd)
                     TRANS_HBLANK_A (0x00060004): 0x081f077f (1920 start, 2080 end)
                      TRANS_HSYNC_A (0x00060008): 0x07cf07af (1968 start, 2000 end)
                     TRANS_HTOTAL_A (0x00060000): 0x081f077f (1920 active, 2080 total)
                       TRANS_MULT_A (0x0006002c): 0x00000000
                      TRANS_SPACE_A (0x00060024): 0x00000000
                     TRANS_VBLANK_A (0x00060010): 0x04560437 (1080 start, 1111 end)
                      TRANS_VSYNC_A (0x00060014): 0x043f043a (1083 start, 1088 end)
                 TRANS_VSYNCSHIFT_A (0x00060028): 0x00000000
                     TRANS_VTOTAL_A (0x0006000c): 0x04560437 (1080 active, 1111 total)
                     TRANS_DATAM1_A (0x00060030): 0x7e49f92c (TU 64, val 0x49f92c 4847916)
                     TRANS_DATAN1_A (0x00060034): 0x00800000 (val 0x800000 8388608)
                     TRANS_LINKM1_A (0x00060040): 0x00041c10 (val 0x41c10 269328)
                     TRANS_LINKN1_A (0x00060044): 0x00080000 (val 0x80000 524288)
               TRANS_DDI_FUNC_CTL_A (0x00060400): 0x8a210102 (enabled, no port, DP SST, 6 bpc, -VSync, +HSync, EDP A ON, x2)
                   TRANS_MSA_MISC_A (0x00060410): 0x00000001
                       TRANS_CONF_B (0x00071008): 0x00000000 (disabled, inactive, pf-pd)
                     TRANS_HBLANK_B (0x00061004): 0x00000000 (1 start, 1 end)
                      TRANS_HSYNC_B (0x00061008): 0x00000000 (1 start, 1 end)
                     TRANS_HTOTAL_B (0x00061000): 0x00000000 (1 active, 1 total)
                       TRANS_MULT_B (0x0006102c): 0x00000000
                      TRANS_SPACE_B (0x00061024): 0x00000000
                     TRANS_VBLANK_B (0x00061010): 0x00000000 (1 start, 1 end)
                      TRANS_VSYNC_B (0x00061014): 0x00000000 (1 start, 1 end)
                 TRANS_VSYNCSHIFT_B (0x00061028): 0x00000000
                     TRANS_VTOTAL_B (0x0006100c): 0x00000000 (1 active, 1 total)
                     TRANS_DATAM1_B (0x00061030): 0x00000000 (TU 1, val 0x0 0)
                     TRANS_DATAN1_B (0x00061034): 0x00000000 (val 0x0 0)
                     TRANS_LINKM1_B (0x00061040): 0x00000000 (val 0x0 0)
                     TRANS_LINKN1_B (0x00061044): 0x00000000 (val 0x0 0)
               TRANS_DDI_FUNC_CTL_B (0x00061400): 0x00000000 (disabled, no port, HDMI, 8 bpc, -VSync, -HSync, EDP A ON, x1)
                   TRANS_MSA_MISC_B (0x00061410): 0x00000000
                       TRANS_CONF_C (0x00072008): 0x00000000 (disabled, inactive, pf-pd)
                     TRANS_HBLANK_C (0x00062004): 0x00000000 (1 start, 1 end)
                      TRANS_HSYNC_C (0x00062008): 0x00000000 (1 start, 1 end)
                     TRANS_HTOTAL_C (0x00062000): 0x00000000 (1 active, 1 total)
                       TRANS_MULT_C (0x0006202c): 0x00000000
                      TRANS_SPACE_C (0x00062024): 0x00000000
                     TRANS_VBLANK_C (0x00062010): 0x00000000 (1 start, 1 end)
                      TRANS_VSYNC_C (0x00062014): 0x00000000 (1 start, 1 end)
                 TRANS_VSYNCSHIFT_C (0x00062028): 0x00000000
                     TRANS_VTOTAL_C (0x0006200c): 0x00000000 (1 active, 1 total)
                     TRANS_DATAM1_C (0x00062030): 0x00000000 (TU 1, val 0x0 0)
                     TRANS_DATAN1_C (0x00062034): 0x00000000 (val 0x0 0)
                     TRANS_LINKM1_C (0x00062040): 0x00000000 (val 0x0 0)
                     TRANS_LINKN1_C (0x00062044): 0x00000000 (val 0x0 0)
               TRANS_DDI_FUNC_CTL_C (0x00062400): 0x00000000 (disabled, no port, HDMI, 8 bpc, -VSync, -HSync, EDP A ON, x1)
                   TRANS_MSA_MISC_C (0x00062410): 0x00000000
                      WM_LINETIME_A (0x00045270): 0x00000078
                      WM_LINETIME_B (0x00045274): 0x00000000
                      WM_LINETIME_C (0x00045278): 0x00000000
                            WM_MISC (0x00045260): 0x20000000
                 PLANE_AUX_DIST_4_A (0x000704c0): 0x00000000
                 PLANE_AUX_DIST_5_A (0x000705c0): 0x00000000
                 PLANE_AUX_DIST_6_A (0x000706c0): 0x00000000
                 PLANE_AUX_DIST_7_A (0x000707c0): 0x00000000
                      PLANE_CTL_4_A (0x00070480): 0x00000000
                      PLANE_CTL_5_A (0x00070580): 0x00000000
                      PLANE_CTL_6_A (0x00070680): 0x00000000
                      PLANE_CTL_7_A (0x00070780): 0x00000000
                  PLANE_BUF_CFG_4_A (0x0007057c): 0x00000000
